system:index,area_inundada_km2,area_total_km2,estado_code,estado_name,month,pct_inundada,year,.geo
2_000200000000000000b2,0.0,4175.397312987563,2056,Tlaxcala,3.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000b3,0.0,69098.27257957426,2057,Veracruz,3.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000b4,0.0,37714.322550304016,2058,Yucatan,3.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000200000000000000b5,0.0,75990.14076877426,2059,Zacatecas,3.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000001b8,0.0,43494.266444764515,2050,Quintana Roo,3.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000300000000000001b9,0.0,52471.269305037,2052,Sinaloa,3.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00020000000000000098,0.0,5217.940857171724,2028,Aguascalientes,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00020000000000000099,0.0,73700.07195083906,2029,Baja California,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0002000000000000009a,0.0,71226.64173678475,2030,Baja California Sur,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0002000000000000009b,0.0,57201.316329346446,2031,Campeche,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0002000000000000009c,0.0,73878.7355579117,2032,Chiapas,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0002000000000000009d,0.0,240172.1342494217,2033,Chihuahua,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0002000000000000009e,0.0,154735.87342733878,2034,Coahuila,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0002000000000000009f,0.0,5598.768171353275,2035,Colima,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a0,0.0,1606.4397662324216,2036,Distrito Federal,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a1,0.0,124388.75172827483,2037,Durango,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a2,0.0,30923.816642764814,2038,Guanajuato,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a3,0.0,65236.3588904544,2039,Guerrero,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a4,0.0,22496.53021982448,2040,Hidalgo,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a5,0.0,76136.81795855696,2041,Jalisco,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a6,0.0,23266.853566063342,2042,Mexico,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a7,0.0,59392.01161342466,2043,Michoacan,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a8,0.0,5094.575087921492,2044,Morelos,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000a9,0.0,26680.141937901513,2045,Nayarit,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000aa,0.0,65141.695307440124,2046,Nuevo Leon,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000ab,0.0,91768.86633040001,2047,Oaxaca,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000ac,0.0,33760.99465779869,2048,Puebla,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000ad,0.0,11552.677667951823,2049,Queretaro,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000ae,0.0,63082.54527418137,2051,San Luis Potosi,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000af,0.0,185238.26699334712,2053,Sonora,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000b0,0.0,24137.958517991083,2054,Tabasco,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000b1,0.0,79319.09001570207,2055,Tamaulipas,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000b2,0.0,4175.397312987563,2056,Tlaxcala,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000b3,0.0,69098.27257957426,2057,Veracruz,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000b4,0.0,37714.322550304016,2058,Yucatan,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000200000000000000b5,0.0,75990.14076877426,2059,Zacatecas,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000300000000000001b8,0.0,43494.266444764515,2050,Quintana Roo,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000300000000000001b9,0.0,52471.269305037,2052,Sinaloa,4.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00020000000000000098,0.0,5217.940857171724,2028,Aguascalientes,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00020000000000000099,0.0,73700.07195083906,2029,Baja California,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0002000000000000009a,0.0,71226.64173678475,2030,Baja California Sur,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0002000000000000009b,29.089425724693644,57201.316329346446,2031,Campeche,5.0,0.05085446907761048,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0002000000000000009c,86.7573949630514,73878.7355579117,2032,Chiapas,5.0,0.11743216002261495,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0002000000000000009d,0.0,240172.1342494217,2033,Chihuahua,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0002000000000000009e,0.0,154735.87342733878,2034,Coahuila,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0002000000000000009f,0.0,5598.768171353275,2035,Colima,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000a0,0.0,1606.4397662324216,2036,Distrito Federal,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000a1,0.0,124388.75172827483,2037,Durango,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000a2,0.0,30923.816642764814,2038,Guanajuato,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000a3,14.457797648468139,65236.3588904544,2039,Guerrero,5.0,0.02216217749483203,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000a4,0.0,22496.53021982448,2040,Hidalgo,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000a5,0.0,76136.81795855696,2041,Jalisco,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000a6,0.0,23266.853566063342,2042,Mexico,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000a7,0.0,59392.01161342466,2043,Michoacan,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000a8,0.0,5094.575087921492,2044,Morelos,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000a9,0.0,26680.141937901513,2045,Nayarit,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000aa,0.0,65141.695307440124,2046,Nuevo Leon,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000ab,44.8736439223039,91768.86633040001,2047,Oaxaca,5.0,0.04889854883980269,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000ac,0.0,33760.99465779869,2048,Puebla,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000ad,0.0,11552.677667951823,2049,Queretaro,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000ae,0.0,63082.54527418137,2051,San Luis Potosi,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000af,0.0,185238.26699334712,2053,Sonora,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000b0,11.821420686274509,24137.958517991083,2054,Tabasco,5.0,0.04897440136647631,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000b1,0.0,79319.09001570207,2055,Tamaulipas,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000b2,0.0,4175.397312987563,2056,Tlaxcala,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000b3,0.0,69098.27257957426,2057,Veracruz,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000b4,34.82463990061274,37714.322550304016,2058,Yucatan,5.0,0.09233797015487427,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000200000000000000b5,0.0,75990.14076877426,2059,Zacatecas,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000300000000000001b8,252.1844991434425,43494.266444764515,2050,Quintana Roo,5.0,0.5798109032686041,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000300000000000001b9,0.0,52471.269305037,2052,Sinaloa,5.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00020000000000000098,0.2304523125,5217.940857171724,2028,Aguascalientes,6.0,0.004416537458128873,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00020000000000000099,0.0,73700.07195083906,2029,Baja California,6.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0002000000000000009a,0.0,71226.64173678475,2030,Baja California Sur,6.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0002000000000000009b,0.0,57201.316329346446,2031,Campeche,6.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0002000000000000009c,0.0,73878.7355579117,2032,Chiapas,6.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0002000000000000009d,38.1210367137255,240172.1342494217,2033,Chihuahua,6.0,0.015872381212275168,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0002000000000000009e,46.95228144669118,154735.87342733878,2034,Coahuila,6.0,0.03034350109429481,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0002000000000000009f,0.0,5598.768171353275,2035,Colima,6.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000a0,0.0,1606.4397662324216,2036,Distrito Federal,6.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000a1,17.50135628125001,124388.75172827483,2037,Durango,6.0,0.014069886575822733,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000a2,2.79187859375,30923.816642764814,2038,Guanajuato,6.0,0.009028247146857954,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000a3,0.0,65236.3588904544,2039,Guerrero,6.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000a4,3.725191078125,22496.53021982448,2040,Hidalgo,6.0,0.0165589583892465,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000a5,39.18385218749999,76136.81795855696,2041,Jalisco,6.0,0.05146505099389453,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000a6,0.701750234375,23266.853566063342,2042,Mexico,6.0,0.003016094257792388,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000a7,69.42552609374994,59392.01161342466,2043,Michoacan,6.0,0.11689371046334007,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000a8,0.0,5094.575087921492,2044,Morelos,6.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000a9,1.6174166875,26680.141937901513,2045,Nayarit,6.0,0.006062249186172116,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000aa,25.159170671875003,65141.695307440124,2046,Nuevo Leon,6.0,0.03862222276091341,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000ab,0.0,91768.86633040001,2047,Oaxaca,6.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000ac,0.0,33760.99465779869,2048,Puebla,6.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000ad,0.0,11552.677667951823,2049,Queretaro,6.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000ae,14.535047766299021,63082.54527418137,2051,San Luis Potosi,6.0,0.023041314682411797,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000af,0.0,185238.26699334712,2053,Sonora,6.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000b0,0.0,24137.958517991083,2054,Tabasco,6.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000b1,172.62144642720608,79319.09001570207,2055,Tamaulipas,6.0,0.2176291311373262,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000b2,0.0,4175.397312987563,2056,Tlaxcala,6.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000b3,7.603667648958336,69098.27257957426,2057,Veracruz,6.0,0.011004135653611132,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000b4,0.0,37714.322550304016,2058,Yucatan,6.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000200000000000000b5,1.6005784375000003,75990.14076877426,2059,Zacatecas,6.0,0.0021062975029488393,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000300000000000001b8,0.0,43494.266444764515,2050,Quintana Roo,6.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000300000000000001b9,0.0,52471.269305037,2052,Sinaloa,6.0,0.0,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
